 REG_CIS       NAZOV                                       JCM11         MNOZ
95103          POSEKANE HLAVY                                  0.0000    0.00
95110          INOVEC                                          0.0000    0.00
95115          UDENA KRKOVICKA B.K.TOSM                        0.0000    0.00
95124          PLESNIVEC SAL                                   0.0000    0.00
95133          KUR.SUNKA                                       0.0000    0.00
95136          KURACIE PRSIA CHLADENE                          0.0000    0.00
95145          KURCATA mraz.                                   0.0000    0.00
95159          MORCACIE PRSIA                                  0.0000    0.00
95164          TURISTA                                         0.0000    0.00
95165          Bratislavsk· klob·sa                            0.0000    0.00
95173          KURACIE STEHNA                                  0.0000    0.00
95178          KURACIE PECIENKY                                0.0000    0.00
95181          DEBRECINSKE PARKY                               0.0000    0.00
95183          BravËov· dom·ca klob·sa MIK pikant omv          0.0000    0.00
95186          VYSOCINA BIVOJ TMVTO                            0.0000    0.00
95187          KLOBASOVE PARKY MIK                             0.0000    0.00
95189          TELACIE PLECE                                   0.0000    0.00
95192          KURACIA POL. ZMES                               0.0000    0.00
95194          Sliepky mrazene                                 0.0000    0.00
95197          LIPTOVSKA SALAMA MMV C                          0.0000    0.00
95199          KURACIE PRSIA MRAZENE                           0.0000    0.00
95213          STUDENSKA SAL.                                  0.0000    0.00
95222          PRASIATKO                                       0.0000    0.00
952222         ZMES NA KLOB.                                   0.0000    0.00
95230          OSKVARKOVA POMAZANKA 250G                       0.0000    0.00
95231          KURACIE PRSIA MR.KALIBROVANE                    0.0000    0.00
95236          HOLANSKA SALAMA                                 0.0000    0.00
95351          HOV.HRUD BYK                                    0.0000    0.00
95352          HOV.REBRO BYK BAL.                              0.0000    0.00
95354          HOV.HARFY BYK                                   0.0000    0.00
95358          PECENA SEKANA                                   0.0000    0.00
95500          Dom·ca sekan· MIK                               0.0000    0.00
95635          BravËov˝ bÙËik bez kosti s koûou ˙den˝          0.0000    0.00
96143          SLANINA GAZD. SUR.                              0.0000    0.00
96149          LOVECKA SAL.TMV                                 0.0000    0.00
96153          VYSOCINA                                        0.0000    0.00
96163          PIKADOR SALAMA                                  0.0000    0.00
9653           KURACIE STEHNA CHLAD.                           0.0000    0.00
965741         Sunka - Special bezlepkova                      0.0000    0.00
skuska         Kuracia öunka 100g                              0.0000    0.00
