 REG_CIS       NAZOV                                       JCM11         MNOZ
232402         UDENE REBRO TOSM                                0.0000    0.00
232403         UDENE KOSTI,REBRA TOSM                          0.0000    0.00
232404         TLACENKA MIK VMV                                0.0000    0.00
232405         KURACIA SUNKA MIK MMV                           0.0000    0.00
232406         MALOKARPATSKA                                   0.0000    0.00
232407         UDENE BAVORSKE KOLENO SSM                       0.0000    0.00
232408         Cesnakov· sal·ma MIK                            0.0000    0.00
232409         INOVEC MIK                                      0.0000    0.00
232410         UDENE KOLENO ZADNE                              0.0000    0.00
232411         SALIANSKA KLOBASA MMV                           0.0000    0.00
232413         LUNCHMEAT mmv                                   0.0000    0.00
232414         HRUBA KLOBASA MIK                               0.0000    0.00
232415         MORCACIA SUNKA MMV                              0.0000    0.00
232416         Litovska salama MMV                             0.0000    0.00
232417         SEKANA MIK PMV                                  0.0000    0.00
232418         UDENE VYK.KOLENO TOSM                           0.0000    0.00
232419         VARENY PAPRIKOVY BOK                            0.0000    0.00
232420         UD.KRK S KOSTOU                                 0.0000    0.00
232421         SUCHA SALAMA MIK MMVc                           0.0000    0.00
232422         UD.BR.ROLKA                                     0.0000    0.00
232423         MIK-grill parky debrecinske                     0.0000    0.00
233            ZEL.ZMES POD SVIECKOVU                          0.0000    0.00
23300          HUS MRAZ.                                       0.0000    0.00
234            HOV.ZADNE MRAZENE                               0.0000    0.00
235            Kacacia pecen                                   0.0000    0.00
2356           SPAGAT                                          0.0000    0.00
23568          Inovecka salama 100g                            0.0000    0.00
235689         Sunkova pena                                    0.0000    0.00
23569          Vykostene kuracie stehna                        0.0000    0.00
235698         KURACIE CHRBTY                                  0.0000    0.00
236            RYZA                                            0.0000    0.00
2365           HYDINOVA NATIERKA S BRUSNICAMI                  0.0000    0.00
2366           Bivoj sal·ma TMV fermentovan· ˙den·             0.0000    0.00
2367           HERKULES SAL.TMV                                0.0000    0.00
2369           KACICA DOMACA                                   0.0000    0.00
237            MORAVSKE STEHNO                                 0.0000    0.00
2373           PECENOVY SYR                                    0.0000    0.00
24             SRNCI OREZ                                      0.0000    0.00
25             UD.KURACI BOCHNIK                               0.0000    0.00
25412          PRESSBURG KLOBASA                               0.0000    0.00
2563           KACICA MRAZ.                                    0.0000    0.00
2569           SPENAT MRAZ.                                    0.0000    0.00
2573           KEL MRAZ.                                       0.0000    0.00
2575           KURA CHLADENE                                   0.0000    0.00
279313         BratislavskÈ p·rky MIK                          0.0000    0.00
279314         OBYCAJNE PARKY MMV                              0.0000    0.00
279315         TOCENA SALAMA MIK MMV                           0.0000    0.00
279316         SPEKACKY MMV                                    0.0000    0.00
279317         ZEMPLINSKA KLOBASA                              0.0000    0.00
279318         BravËov· dom·ca klob·sa MIK ˙den·               0.0000    0.00
279319         KLOBASA CIGARO OMV                              0.0000    0.00
279320         ORAVSKA SLANINA TOSM                            0.0000    0.00
279321         Gazdovsk· slanina ˙den·                         0.0000    0.00
279322         JATERNICE RYZOVE VMV                            0.0000    0.00
279323         VARENY PAPRIK.LALOK                             0.0000    0.00
279324         UD.LAHODKOVE KARE B.K.                          0.0000    0.00
